V6 epoch results - reduced validation dataset to 233  - Model which is being used
Epoch [1/30], Train Loss: 0.0119, test Loss: 0.0227, LR: 0.000010
Epoch [2/30], Train Loss: 0.0026, test Loss: 0.0071, LR: 0.000010
Epoch [3/30], Train Loss: 0.0017, test Loss: 0.0067, LR: 0.000010
Epoch [4/30], Train Loss: 0.0015, test Loss: 0.0033, LR: 0.000010
Epoch [5/30], Train Loss: 0.0012, test Loss: 0.0030, LR: 0.000010
Epoch [6/30], Train Loss: 0.0011, test Loss: 0.0027, LR: 0.000010
Epoch [7/30], Train Loss: 0.0010, test Loss: 0.0021, LR: 0.000010
Epoch [8/30], Train Loss: 0.0009, test Loss: 0.0026, LR: 0.000010
Epoch [9/30], Train Loss: 0.0008, test Loss: 0.0022, LR: 0.000010
Epoch [10/30], Train Loss: 0.0008, test Loss: 0.0015, LR: 0.000010
Epoch [11/30], Train Loss: 0.0007, test Loss: 0.0017, LR: 0.000010
Epoch [12/30], Train Loss: 0.0007, test Loss: 0.0014, LR: 0.000010
Epoch [13/30], Train Loss: 0.0006, test Loss: 0.0016, LR: 0.000010
Epoch [14/30], Train Loss: 0.0006, test Loss: 0.0018, LR: 0.000010
Epoch [15/30], Train Loss: 0.0006, test Loss: 0.0019, LR: 0.000010
Epoch [16/30], Train Loss: 0.0005, test Loss: 0.0014, LR: 0.000010
Epoch [17/30], Train Loss: 0.0005, test Loss: 0.0014, LR: 0.000010
Epoch [18/30], Train Loss: 0.0005, test Loss: 0.0013, LR: 0.000010
Epoch [19/30], Train Loss: 0.0004, test Loss: 0.0013, LR: 0.000010
Epoch [20/30], Train Loss: 0.0004, test Loss: 0.0015, LR: 0.000010
Epoch [21/30], Train Loss: 0.0004, test Loss: 0.0013, LR: 0.000010
Epoch [22/30], Train Loss: 0.0003, test Loss: 0.0013, LR: 0.000010
Epoch [23/30], Train Loss: 0.0003, test Loss: 0.0013, LR: 0.000010
Epoch [24/30], Train Loss: 0.0004, test Loss: 0.0015, LR: 0.000001
Epoch [25/30], Train Loss: 0.0003, test Loss: 0.0013, LR: 0.000001
Epoch [26/30], Train Loss: 0.0003, test Loss: 0.0013, LR: 0.000001
Epoch [27/30], Train Loss: 0.0003, test Loss: 0.0013, LR: 0.000001
Epoch [28/30], Train Loss: 0.0003, test Loss: 0.0013, LR: 0.000001
Epoch [29/30], Train Loss: 0.0003, test Loss: 0.0013, LR: 0.000001
Epoch [30/30], Train Loss: 0.0002, test Loss: 0.0013, LR: 0.000000
Training complete



